Dia;Sessao;Turno;Horario_Inicio;Bloco;Sala;Ordem;Evento;Código do Resumo;Título;Submissor;Área;Modalidade
Terça-feira;Sessão 2;Manhã;11:10;Ciências da Terra;CT01;3;24ª - ENEC;202625778;Setor de Tecnologia: Conectando Ciência e Sociedade;THAISE JORGE MENDONCA;Comunicação;Comunicação Oral
Terça-feira;Sessão 2;Manhã;11:30;Ciências da Terra;CT01;4;24ª - ENEC;202623421;Sinapse – Hub de Criação e Comunicação Estratégica;HERTEZ WENDEL DE CAMARGO;Comunicação;Comunicação Oral
Segunda-feira;Sessão 5;Noite;19:00;Ciências da Terra;CT05;1;24ª - ENEC;202622906;Sinapsense Next - Projeto de Extensão em Neurociência do Consumo;LETICIA SALEM HERRMANN LIMA;Comunicação;Comunicação Oral
Terça-feira;Sessão 1;Manhã;08:20;Ciências da Terra;CT02;1;24ª - ENEC;202623203;Studiumlab – Neurociência do Consumo em Extensão;LETICIA SALEM HERRMANN LIMA;Comunicação;Comunicação Oral
Terça-feira;Sessão 1;Manhã;08:40;Ciências da Terra;CT02;2;24ª - ENEC;202623802;Vitrine.tur_ufpr;JULIANA MEDAGLIA SILVEIRA;Comunicação;Comunicação Oral
Segunda-feira;Sessão 5;Noite;19:20;Ciências da Terra;CT05;2;24ª - ENEC;202625644;Ziip - Agência Experimental de Comunicação Institucional (3ª Edição);JULIANE MARTINS;Comunicação;Comunicação Oral
Terça-feira;Sessão 1;Manhã;09:00;Ciências da Terra;CT02;3;7ª - EDISPE;202626149;Direito À Habitação: Moradia, Cidadania e Memória;JOSE CARLOS FERNANDES;Comunicação;Comunicação Oral
Segunda-feira;Sessão 5;Noite;19:00;Ciências da Terra;CT06;1;24ª - EAF;202626121;Cuidadoras de Pessoas Idosas, Envelhecimento e Interseccionalidade: Uma Revisão de Escopo;ANDREA MARIA FEDEGER;Cultura;Comunicação Oral
Terça-feira;Sessão 1;Manhã;08:20;Ciências da Terra;CT03;1;24ª - EAF;202626124;Estudo Sobre Cultura do Cuidado, Gênero e Terapia Ocupacional no Trabalho Informal de Pessoas Idosas: Uma Revisão de Escopo;ANDREA MARIA FEDEGER;Cultura;Comunicação Oral
Segunda-feira;Sessão 5;Noite;19:20;Ciências da Terra;CT06;2;24ª - EAF;202624821;Língua Alsaciana - Onde a Língua Alemã Encontra a Língua Francesa;JOAO ARTHUR PUGSLEY GRAHL;Cultura;Comunicação Oral
Segunda-feira;Sessão 5;Noite;19:40;Ciências da Terra;CT06;3;24ª - EAF;202626343;Memorial de Composição: o Peso dos Sonhos para Contrabaixo e Eletrônicos;FRANCISCO GONCALVES DE AZEVEDO;Cultura;Comunicação Oral
